sweep,sensitivity,FAR,eligibility_variant,cohort_strategy,includes_25_day_rule,n_total,n_eligible,n_currently_eligible,n_selected_failing_current_eligibility,n_valid_MPC,n_zero_baseline,n_undefined_MPC,MPC_valid_fraction_of_selected,reference_offset_monthly,eligibility_fraction,eligibility_ci_lo,eligibility_ci_hi,n_observed_RTM,observed_RTM_fraction,observed_RTM_ci_lo,observed_RTM_ci_hi,MPC_median,MPC_ci_lo,MPC_ci_hi,median_sampled_monthly_frequency_eligible,median_effective_long_term_frequency_eligible,median_detector_specific_long_term_frequency_eligible,mean_baseline_frequency_eligible,mean_test_frequency_eligible,median_baseline_frequency_eligible,median_test_frequency_eligible,mean_baseline_excess_over_detector_long_term_eligible,mean_test_excess_over_detector_long_term_eligible
sensitivity,0.1,0.0,Primary monthly criteria,Reselected at each detector condition,False,100000,2180,2180,0,2180,0,0,1.0,0.0,0.0218,0.02091311347805836,0.022723624822816063,1404,0.6440366972477064,0.6237002649727709,0.6638663976452789,48.14814814814814,45.833333333333336,50.0,31.626924019899405,39.236111111111114,3.9236111111111116,7.5256880733944955,4.681498470948012,6.0,3.6666666666666665,2.731787716615698,-0.11240188583078517
sensitivity,0.1,0.0,Perfect-detector monthly criteria held fixed,Fixed perfect-detector cohort,False,100000,35393,2180,33213,29211,6182,6182,0.8253326929053768,0.0,0.35393,0.35097187849702915,0.356899343509681,10380,0.2932783318735343,0.2885579656154348,0.2980435672636087,33.333333333333336,33.333333333333336,33.333333333333336,8.752590654200395,8.416666666666666,0.8416666666666667,1.5963043539682988,1.4550052270222926,1.0,1.0,0.13137626084253942,-0.009922866103466882
sensitivity,0.2,0.0,Primary monthly criteria,Reselected at each detector condition,False,100000,5955,5955,0,5955,0,0,1.0,0.0,0.05955,0.058100097173652596,0.06103374093722182,3142,0.5276238455079765,0.5149302835847446,0.5402817911572325,37.634408602150536,35.802469135802475,38.88888888888889,22.060989369576657,26.694444444444443,5.338888888888889,9.474223341729639,6.852392947103275,7.0,5.0,2.51007183505924,-0.11175855956712416
sensitivity,0.2,0.0,Perfect-detector monthly criteria held fixed,Fixed perfect-detector cohort,False,100000,35393,5955,29438,33813,1580,1580,0.9553584042042211,0.0,0.35393,0.35097187849702915,0.356899343509681,10990,0.31051337835165144,0.30571365579802134,0.3153542291542516,16.666666666666664,14.28571428571429,16.666666666666664,8.752590654200395,8.416666666666666,1.6833333333333333,3.19051789901958,2.908211604931295,2.0,1.6666666666666667,0.2606617127680613,-0.021644581320223566
sensitivity,0.3,0.0,Primary monthly criteria,Reselected at each detector condition,False,100000,9824,9824,0,9824,0,0,1.0,0.0,0.09824,0.09641065274206481,0.10010021296215793,4761,0.48462947882736157,0.4747548757920795,0.4945160977716068,33.33333333333333,30.555555555555546,33.333333333333336,17.920735577612227,21.36111111111111,6.408333333333333,10.834843241042345,8.509941639522259,8.0,6.0,2.2357101655808904,-0.08919143593919623
sensitivity,0.3,0.0,Perfect-detector monthly criteria held fixed,Fixed perfect-detector cohort,False,100000,35393,9824,25569,34980,413,413,0.9883310259090781,0.0,0.35393,0.35097187849702915,0.356899343509681,11588,0.3274093747351171,0.32253944352792774,0.3323167668994128,12.280701754385959,11.111111111111116,14.28571428571429,8.752590654200395,8.416666666666666,2.525,4.791314666742011,4.365420657568822,2.5,2.3333333333333335,0.3965303873647333,-0.029363621808455385
sensitivity,0.4,0.0,Primary monthly criteria,Reselected at each detector condition,False,100000,13845,13845,0,13845,0,0,1.0,0.0,0.13845,0.13632328780358965,0.1406044887181191,6456,0.46630552546045506,0.45800635928736183,0.47462338430712886,27.536231884057973,26.66666666666667,28.57142857142857,15.217402426942737,17.916666666666668,7.166666666666668,11.827735644637054,9.697026604068856,8.0,6.333333333333333,2.0488728381686125,-0.0818362023995832
sensitivity,0.4,0.0,Perfect-detector monthly criteria held fixed,Fixed perfect-detector cohort,False,100000,35393,13845,21548,35291,102,102,0.9971180741954624,0.0,0.35393,0.35097187849702915,0.356899343509681,11959,0.33789167349475885,0.3329818203776943,0.34283671237615143,13.475177304964546,11.711711711711715,14.28571428571429,8.752590654200395,8.416666666666666,3.3666666666666667,6.391094284180488,5.8260484653274185,3.5,3.3333333333333335,0.5313819116774501,-0.033663907175618846
sensitivity,0.5,0.0,Primary monthly criteria,Reselected at each detector condition,False,100000,17865,17865,0,17865,0,0,1.0,0.0,0.17865,0.17628817707229075,0.1810365110351664,7949,0.44494822278197593,0.43767350779735253,0.45224660792290766,25.0,24.63768115942029,25.92592592592592,13.211442973139933,15.166666666666666,7.583333333333333,12.595549958018472,10.626681593432222,8.0,6.666666666666667,1.878634511925864,-0.09023385266038499
sensitivity,0.5,0.0,Perfect-detector monthly criteria held fixed,Fixed perfect-detector cohort,False,100000,35393,17865,17528,35377,16,16,0.9995479332071313,0.0,0.35393,0.35097187849702915,0.356899343509681,12227,0.34546379227530866,0.340526786638603,0.3504343401408582,13.333333333333341,11.627906976744185,14.28571428571429,8.752590654200395,8.416666666666666,4.208333333333333,7.983880993416777,7.284218159899792,4.5,4.0,0.6592405277879807,-0.04042230572900479
