sweep,sensitivity,FAR,eligibility_variant,cohort_strategy,includes_25_day_rule,n_total,n_eligible,n_currently_eligible,n_selected_failing_current_eligibility,n_valid_MPC,n_zero_baseline,n_undefined_MPC,MPC_valid_fraction_of_selected,reference_offset_monthly,eligibility_fraction,eligibility_ci_lo,eligibility_ci_hi,n_observed_RTM,observed_RTM_fraction,observed_RTM_ci_lo,observed_RTM_ci_hi,MPC_median,MPC_ci_lo,MPC_ci_hi,median_sampled_monthly_frequency_eligible,median_effective_long_term_frequency_eligible,median_detector_specific_long_term_frequency_eligible,mean_baseline_frequency_eligible,mean_test_frequency_eligible,median_baseline_frequency_eligible,median_test_frequency_eligible,mean_baseline_excess_over_detector_long_term_eligible,mean_test_excess_over_detector_long_term_eligible,correction_strategy
FAR,1.0,0.0,Primary monthly criteria,Reselected at each detector condition,False,100000,35393,35393,0,35393,0,0,1.0,0.0,0.35393,0.35097187849702915,0.356899343509681,13170,0.3721074788800045,0.3670858383049689,0.3771568786467143,14.28571428571429,13.333333333333341,14.814814814814813,8.752590654200395,8.416666666666666,8.416666666666666,15.965529907043766,14.567927744657608,8.5,8.0,1.3162489757861724,-0.0813531865999868,Expected monthly correction; 25-day rule omitted
FAR,1.0,0.0,Original 25-day rule retained,Reselected at each detector condition,True,100000,33109,33109,0,33109,0,0,1.0,0.0,0.33109,0.3281797484746924,0.33401322824300045,12637,0.3816786976350841,0.3764599460463612,0.3869249024045443,15.151515151515149,14.28571428571429,15.646258503401356,8.59032856929194,8.25,8.25,16.060738771935124,14.387125353629928,8.5,8.0,1.5915091901832668,-0.08210422812192723,Expected monthly correction + original daily rounding
FAR,1.0,0.0,25-day rule on observed days,Reselected at each detector condition,True,100000,33109,33109,0,33109,0,0,1.0,0.0,0.33109,0.3281797484746924,0.33401322824300045,12637,0.3816786976350841,0.3764599460463612,0.3869249024045443,15.151515151515149,14.28571428571429,15.646258503401356,8.59032856929194,8.25,8.25,16.060738771935124,14.387125353629928,8.5,8.0,1.5915091901832668,-0.08210422812192723,Expected monthly correction + observed daily intervals
FAR,1.0,0.0,25-day rule on latent true days,Reselected at each detector condition,True,100000,33109,33109,0,33109,0,0,1.0,0.0,0.33109,0.3281797484746924,0.33401322824300045,12637,0.3816786976350841,0.3764599460463612,0.3869249024045443,15.151515151515149,14.28571428571429,15.646258503401356,8.59032856929194,8.25,8.25,16.060738771935124,14.387125353629928,8.5,8.0,1.5915091901832668,-0.08210422812192723,Expected monthly correction + oracle daily intervals
FAR,1.0,0.0,Monthly criteria without FAR correction,Reselected at each detector condition,False,100000,35393,35393,0,35393,0,0,1.0,0.0,0.35393,0.35097187849702915,0.356899343509681,13170,0.3721074788800045,0.3670858383049689,0.3771568786467143,14.28571428571429,13.333333333333341,14.814814814814813,8.752590654200395,8.416666666666666,8.416666666666666,15.965529907043766,14.567927744657608,8.5,8.0,1.3162489757861724,-0.0813531865999868,Uncorrected observed counts; 25-day rule omitted
FAR,1.0,0.0,Exact oracle false-alarm removal,Reselected at each detector condition,False,100000,35393,35393,0,35393,0,0,1.0,0.0,0.35393,0.35097187849702915,0.356899343509681,13170,0.3721074788800045,0.3670858383049689,0.3771568786467143,14.28571428571429,13.333333333333341,14.814814814814813,8.752590654200395,8.416666666666666,8.416666666666666,15.965529907043766,14.567927744657608,8.5,8.0,1.3162489757861724,-0.0813531865999868,Exact oracle false-alarm removal
FAR,1.0,0.1,Primary monthly criteria,Reselected at each detector condition,False,100000,35453,35453,0,35453,0,0,1.0,0.0,0.35453,0.35157072210923973,0.3575004538017353,14467,0.40806137703438355,0.40295569781640367,0.4131869778482881,17.948717948717952,17.09401709401709,18.518518518518523,8.639890218992017,8.305555555555555,8.305555555555555,16.070290243420867,14.418300284884213,9.0,8.0,1.63064479733732,-0.02134516119933432,Expected monthly correction; 25-day rule omitted
FAR,1.0,0.1,Original 25-day rule retained,Reselected at each detector condition,True,100000,35293,35293,0,35293,0,0,1.0,0.0,0.35293,0.3499738171488032,0.3558974816841321,14441,0.409174623863089,0.4040551284521065,0.4143138888584243,17.948717948717952,17.333333333333336,18.518518518518523,8.6175551306611,8.277777777777779,8.277777777777779,16.062491145552944,14.386507239395915,9.0,8.0,1.6578027748656483,-0.018181131291379767,Expected monthly correction + original daily rounding
FAR,1.0,0.1,25-day rule on observed days,Reselected at each detector condition,True,100000,35293,35293,0,35293,0,0,1.0,0.0,0.35293,0.3499738171488032,0.3558974816841321,14441,0.409174623863089,0.4040551284521065,0.4143138888584243,17.948717948717952,17.333333333333336,18.518518518518523,8.6175551306611,8.277777777777779,8.277777777777779,16.062491145552944,14.386507239395915,9.0,8.0,1.6578027748656483,-0.018181131291379767,Expected monthly correction + observed daily intervals
FAR,1.0,0.1,25-day rule on latent true days,Reselected at each detector condition,True,100000,31981,31981,0,31981,0,0,1.0,0.0,0.31981,0.31692622756151684,0.3227076157559959,13034,0.40755448547575124,0.40218048609301615,0.4129506907298306,17.948717948717952,17.320261437908503,18.518518518518523,8.684184211994419,8.36111111111111,8.36111111111111,16.546121134423565,14.588099183890435,9.0,8.0,1.9107421420357225,-0.047279808497406435,Expected monthly correction + oracle daily intervals
