sweep,sensitivity,FAR,eligibility_variant,cohort_strategy,includes_25_day_rule,n_total,n_eligible,n_currently_eligible,n_selected_failing_current_eligibility,n_valid_MPC,n_zero_baseline,n_undefined_MPC,MPC_valid_fraction_of_selected,reference_offset_monthly,eligibility_fraction,eligibility_ci_lo,eligibility_ci_hi,n_observed_RTM,observed_RTM_fraction,observed_RTM_ci_lo,observed_RTM_ci_hi,MPC_median,MPC_ci_lo,MPC_ci_hi,median_sampled_monthly_frequency_eligible,median_effective_long_term_frequency_eligible,median_detector_specific_long_term_frequency_eligible,mean_baseline_frequency_eligible,mean_test_frequency_eligible,median_baseline_frequency_eligible,median_test_frequency_eligible,mean_baseline_excess_over_detector_long_term_eligible,mean_test_excess_over_detector_long_term_eligible
sensitivity,0.1,0.0,Original 25-day rule retained,Reselected at each detector condition,True,100000,1692,1692,0,1692,0,0,1.0,0.0,0.01692,0.016138996064107958,0.017738117148745278,1113,0.6578014184397163,0.6348601963069888,0.6800277298151555,48.14814814814814,45.833333333333336,50.0,31.626924019899405,39.666666666666664,3.966666666666667,7.795212765957447,4.800433412135539,6.5,3.6666666666666665,2.933249605988968,-0.061529747832939546
sensitivity,0.2,0.0,Original 25-day rule retained,Reselected at each detector condition,True,100000,4838,4838,0,4838,0,0,1.0,0.0,0.04838,0.04706737945516582,0.049727316804643686,2649,0.5475403059115337,0.5334827699915572,0.5615224060168369,38.88888888888889,37.5,40.0,22.229232521471033,26.805555555555557,5.361111111111112,9.852625051674245,6.984291029350971,7.5,5.0,2.7757280327040554,-0.09260598961921859
sensitivity,0.3,0.0,Original 25-day rule retained,Reselected at each detector condition,True,100000,8274,8274,0,8274,0,0,1.0,0.0,0.08274,0.08104851977200453,0.08446353673870827,4216,0.5095479816291999,0.4987744266462957,0.5203126748385531,33.333333333333336,33.333333333333336,33.333333333333336,17.920735577612227,21.305555555555557,6.391666666666667,11.210659898477157,8.558738216098622,8.0,6.0,2.5594865441946664,-0.09243513818386885
sensitivity,0.4,0.0,Original 25-day rule retained,Reselected at each detector condition,True,100000,12057,12057,0,12057,0,0,1.0,0.0,0.12057,0.1185663418991228,0.12260280827549197,5890,0.4885128970722402,0.4795955322809243,0.4974375793020644,29.824561403508763,28.205128205128204,31.818181818181824,15.115059398090624,17.72222222222222,7.088888888888889,12.142323961184374,9.712836250034558,8.5,6.333333333333333,2.344675753135568,-0.08481195801424767
sensitivity,0.5,0.0,Original 25-day rule retained,Reselected at each detector condition,True,100000,15875,15875,0,15875,0,0,1.0,0.0,0.15875,0.15649811774685468,0.16102809920248323,7387,0.4653228346456693,0.4575730065526999,0.4730894411545041,26.66666666666667,25.92592592592592,27.27272727272727,12.959763038087605,14.777777777777779,7.388888888888889,12.848125984251968,10.586540682414697,8.0,6.666666666666667,2.185106736657918,-0.07647856517935257
sensitivity,0.6,0.0,Original 25-day rule retained,Reselected at each detector condition,True,100000,19673,19673,0,19673,0,0,1.0,0.0,0.19673,0.19427781991362789,0.19920547917567819,8745,0.4445178671275352,0.43758564409868284,0.4514717534227366,23.076923076923073,22.22222222222222,24.13793103448276,11.430558699574904,12.694444444444445,7.616666666666666,13.496899303614091,11.412307900845489,8.0,6.666666666666667,2.008432030363104,-0.07615937240549613
sensitivity,0.7,0.0,Original 25-day rule retained,Reselected at each detector condition,True,100000,23348,23348,0,23348,0,0,1.0,0.0,0.23348,0.23086825621231538,0.23611221951321587,9934,0.4254754154531437,0.41914635192919164,0.4318289980817816,19.999999999999996,19.999999999999996,21.212121212121215,10.34963936605952,11.027777777777779,7.719444444444444,14.12129518588316,12.160199303295071,8.0,7.0,1.8828804037462175,-0.07821547884187004
sensitivity,0.8,0.0,Original 25-day rule retained,Reselected at each detector condition,True,100000,26836,26836,0,26836,0,0,1.0,0.0,0.26836,0.2656225874889461,0.27111520853785137,10916,0.40676702936354153,0.40090352141330315,0.41265722529686516,18.23069403714565,17.460317460317466,18.518518518518523,9.5540279799146,9.61111111111111,7.688888888888889,14.754303920107319,12.90792219406767,8.0,7.333333333333333,1.7697384110895804,-0.07664331495006776
sensitivity,0.9,0.0,Original 25-day rule retained,Reselected at each detector condition,True,100000,30094,30094,0,30094,0,0,1.0,0.0,0.30094,0.2981048975804785,0.30379039544790315,11858,0.3940320329633814,0.3885251354039552,0.3995659804082448,16.666666666666664,16.129032258064512,16.666666666666664,9.022030362038224,8.75,7.875,15.396856516249086,13.637037283179371,8.5,7.666666666666667,1.6737040606100884,-0.08611517245962684
sensitivity,1.0,0.0,Original 25-day rule retained,Reselected at each detector condition,True,100000,33109,33109,0,33109,0,0,1.0,0.0,0.33109,0.3281797484746924,0.33401322824300045,12637,0.3816786976350841,0.3764599460463612,0.3869249024045443,15.151515151515149,14.28571428571429,15.646258503401356,8.59032856929194,8.25,8.25,16.060738771935124,14.387125353629928,8.5,8.0,1.5915091901832668,-0.08210422812192723
FAR,1.0,0.0,Original 25-day rule retained,Reselected at each detector condition,True,100000,33109,33109,0,33109,0,0,1.0,0.0,0.33109,0.3281797484746924,0.33401322824300045,12637,0.3816786976350841,0.3764599460463612,0.3869249024045443,15.151515151515149,14.28571428571429,15.646258503401356,8.59032856929194,8.25,8.25,16.060738771935124,14.387125353629928,8.5,8.0,1.5915091901832668,-0.08210422812192723
FAR,1.0,0.0,25-day rule on observed days,Reselected at each detector condition,True,100000,33109,33109,0,33109,0,0,1.0,0.0,0.33109,0.3281797484746924,0.33401322824300045,12637,0.3816786976350841,0.3764599460463612,0.3869249024045443,15.151515151515149,14.28571428571429,15.646258503401356,8.59032856929194,8.25,8.25,16.060738771935124,14.387125353629928,8.5,8.0,1.5915091901832668,-0.08210422812192723
FAR,1.0,0.0,25-day rule on latent true days,Reselected at each detector condition,True,100000,33109,33109,0,33109,0,0,1.0,0.0,0.33109,0.3281797484746924,0.33401322824300045,12637,0.3816786976350841,0.3764599460463612,0.3869249024045443,15.151515151515149,14.28571428571429,15.646258503401356,8.59032856929194,8.25,8.25,16.060738771935124,14.387125353629928,8.5,8.0,1.5915091901832668,-0.08210422812192723
FAR,1.0,0.1,Original 25-day rule retained,Reselected at each detector condition,True,100000,35293,35293,0,35293,0,0,1.0,0.0,0.35293,0.3499738171488032,0.3558974816841321,14441,0.409174623863089,0.4040551284521065,0.4143138888584243,17.948717948717952,17.333333333333336,18.518518518518523,8.6175551306611,8.277777777777779,8.277777777777779,16.062491145552944,14.386507239395915,9.0,8.0,1.6578027748656483,-0.018181131291379767
FAR,1.0,0.1,25-day rule on observed days,Reselected at each detector condition,True,100000,35293,35293,0,35293,0,0,1.0,0.0,0.35293,0.3499738171488032,0.3558974816841321,14441,0.409174623863089,0.4040551284521065,0.4143138888584243,17.948717948717952,17.333333333333336,18.518518518518523,8.6175551306611,8.277777777777779,8.277777777777779,16.062491145552944,14.386507239395915,9.0,8.0,1.6578027748656483,-0.018181131291379767
FAR,1.0,0.1,25-day rule on latent true days,Reselected at each detector condition,True,100000,31981,31981,0,31981,0,0,1.0,0.0,0.31981,0.31692622756151684,0.3227076157559959,13034,0.40755448547575124,0.40218048609301615,0.4129506907298306,17.948717948717952,17.320261437908503,18.518518518518523,8.684184211994419,8.36111111111111,8.36111111111111,16.546121134423565,14.588099183890435,9.0,8.0,1.9107421420357225,-0.047279808497406435
FAR,1.0,0.2,Original 25-day rule retained,Reselected at each detector condition,True,100000,35544,35544,0,35544,0,0,1.0,0.0,0.35544,0.3524789779767564,0.35841212802235367,15616,0.43934278640558183,0.4341900234791773,0.44450865911185705,21.212121212121215,20.63492063492063,21.95121951219512,8.516636936963298,8.166666666666666,8.166666666666666,16.110018568534773,14.247139695401007,9.0,8.0,1.900827925325731,0.03794905219196241
FAR,1.0,0.2,25-day rule on observed days,Reselected at each detector condition,True,100000,35544,35544,0,35544,0,0,1.0,0.0,0.35544,0.3524789779767564,0.35841212802235367,15616,0.43934278640558183,0.4341900234791773,0.44450865911185705,21.212121212121215,20.63492063492063,21.95121951219512,8.516636936963298,8.166666666666666,8.166666666666666,16.110018568534773,14.247139695401007,9.0,8.0,1.900827925325731,0.03794905219196241
FAR,1.0,0.2,25-day rule on latent true days,Reselected at each detector condition,True,100000,30973,30973,0,30973,0,0,1.0,0.0,0.30973,0.30687153249075516,0.31260308523510727,13200,0.426177638588448,0.4206798046135054,0.4316937820841844,19.999999999999996,19.379844961240313,20.833333333333336,8.789960631539312,8.472222222222221,8.472222222222221,16.965147063571496,14.800697381590417,9.5,8.333333333333334,2.158481221996219,-0.005968459984861366
FAR,1.0,0.3,Original 25-day rule retained,Reselected at each detector condition,True,100000,35436,35436,0,35436,0,0,1.0,0.0,0.35436,0.35140104923487875,0.35733013973655453,16252,0.4586296421718027,0.45344635704243763,0.46382189588113043,23.809523809523814,23.076923076923073,24.6376811594203,8.39859055358503,8.027777777777779,8.027777777777779,16.2254628061858,14.147590021447115,9.0,8.0,2.180119715041828,0.10224693030314431
