sweep,sensitivity,FAR,n_total,n_eligible,n_valid_MPC,n_zero_baseline,n_undefined_MPC,eligibility_fraction,median_sampled_monthly_frequency_eligible,median_effective_long_term_frequency_eligible,median_detector_specific_long_term_frequency_eligible,mean_baseline_frequency_eligible,mean_test_frequency_eligible,median_baseline_frequency_eligible,median_test_frequency_eligible,mean_baseline_excess_over_detector_long_term_eligible,mean_test_excess_over_detector_long_term_eligible,observed_RTM_fraction,MPC_median
sensitivity,0.1,0.0,100000,2180,2180,0,0,0.0218,31.626924019899405,39.236111111111114,3.9236111111111116,7.5256880733944955,4.681498470948012,6.0,3.6666666666666665,2.731787716615698,-0.11240188583078517,0.6440366972477064,48.14814814814814
sensitivity,0.2,0.0,100000,5955,5955,0,0,0.05955,22.060989369576657,26.694444444444443,5.338888888888889,9.474223341729639,6.852392947103275,7.0,5.0,2.51007183505924,-0.11175855956712416,0.5276238455079765,37.634408602150536
sensitivity,0.3,0.0,100000,9824,9824,0,0,0.09824,17.920735577612227,21.36111111111111,6.408333333333333,10.834843241042345,8.509941639522259,8.0,6.0,2.2357101655808904,-0.08919143593919623,0.48462947882736157,33.33333333333333
sensitivity,0.4,0.0,100000,13845,13845,0,0,0.13845,15.217402426942737,17.916666666666668,7.166666666666668,11.827735644637054,9.697026604068856,8.0,6.333333333333333,2.0488728381686125,-0.0818362023995832,0.46630552546045506,27.536231884057973
sensitivity,0.5,0.0,100000,17865,17865,0,0,0.17865,13.211442973139933,15.166666666666666,7.583333333333333,12.595549958018472,10.626681593432222,8.0,6.666666666666667,1.878634511925864,-0.09023385266038499,0.44494822278197593,25.0
sensitivity,0.6,0.0,100000,21790,21790,0,0,0.2179,11.736746936565968,13.194444444444445,7.916666666666666,13.304015603487839,11.513308857273978,8.0,7.0,1.7145181275814596,-0.07618861863239978,0.42620468104635156,21.212121212121215
sensitivity,0.7,0.0,100000,25546,25546,0,0,0.25546,10.646989848223807,11.583333333333334,8.108333333333333,13.968781805370703,12.303126386387955,8.0,7.0,1.591567825360788,-0.0740875936219622,0.40922257887731933,19.047619047619047
sensitivity,0.8,0.0,100000,29093,29093,0,0,0.29093,9.83980825025989,10.13888888888889,8.111111111111112,14.628690750352318,13.06979914985277,8.5,7.333333333333333,1.4789212372582936,-0.07997036324125385,0.3931186195992163,16.666666666666664
sensitivity,0.9,0.0,100000,32350,32350,0,0,0.3235,9.222649070871338,9.027777777777779,8.125000000000002,15.292859350850078,13.82225656877898,8.5,7.666666666666667,1.3893068006182376,-0.0812959814528597,0.3826275115919629,15.555555555555555
sensitivity,1.0,0.0,100000,35393,35393,0,0,0.35393,8.752590654200395,8.416666666666666,8.416666666666666,15.965529907043766,14.567927744657608,8.5,8.0,1.3162489757861724,-0.0813531865999868,0.3721074788800045,14.28571428571429
FAR,1.0,0.0,100000,35393,35393,0,0,0.35393,8.752590654200395,8.416666666666666,8.416666666666666,15.965529907043766,14.567927744657608,8.5,8.0,1.3162489757861724,-0.0813531865999868,0.3721074788800045,14.28571428571429
FAR,1.0,0.1,100000,35453,35453,0,0,0.35453,8.639890218992017,8.305555555555555,8.305555555555555,16.070290243420867,14.418300284884213,9.0,8.0,1.63064479733732,-0.02134516119933432,0.40806137703438355,17.948717948717952
FAR,1.0,0.2,100000,35551,35551,0,0,0.35551,8.51700041704865,8.166666666666666,8.166666666666666,16.109631234001856,14.247419200585075,9.0,8.0,1.8972485537209454,0.03503652030416397,0.43925627971083797,21.212121212121215
FAR,1.0,0.3,100000,35437,35437,0,0,0.35437,8.39865946835112,8.027777777777779,8.027777777777779,16.225287129271667,14.14736951021061,9.0,8.0,2.1799272888036048,0.1020096697425478,0.4586167000592601,23.809523809523814
FAR,1.0,0.4,100000,35512,35512,0,0,0.35512,8.273565886752431,7.861111111111111,7.861111111111111,16.29996902455508,14.061575429901628,9.5,7.666666666666667,2.4301769667843107,0.1917833721308603,0.4799785987835098,25.71428571428571
FAR,1.0,0.5,100000,35508,35508,0,0,0.35508,8.187957632359142,7.777777777777778,7.777777777777778,16.416708910668017,14.02252074649844,9.5,7.666666666666667,2.6608729801108986,0.26668481594132154,0.49391686380533967,27.27272727272727
FAR,1.0,0.6,100000,35462,35462,0,0,0.35462,8.079220927948306,7.666666666666667,7.666666666666667,16.514832778749085,13.970954824882973,9.5,7.666666666666667,2.876137367698757,0.3322594138326471,0.5075291861711128,28.205128205128204
FAR,1.0,0.7,100000,35372,35372,0,0,0.35372,8.008763199099164,7.583333333333333,7.583333333333333,16.638753816578085,13.970230690941989,10.0,7.666666666666667,3.0790769849347255,0.4105538592986292,0.5161709826981794,28.888888888888896
FAR,1.0,0.8,100000,35321,35321,0,0,0.35321,7.937736902545781,7.527777777777778,7.527777777777778,16.76509725092721,13.975019582307032,10.0,7.666666666666667,3.2549199563369604,0.46484228771678165,0.5215594122476713,29.6969696969697
FAR,1.0,0.9,100000,35224,35224,0,0,0.35224,7.8539974461354545,7.444444444444445,7.444444444444445,16.886611401317285,13.966367628132335,10.0,7.666666666666667,3.4540859136447373,0.5338421404597875,0.5317681126504656,30.434782608695656
FAR,1.0,1.0,100000,35134,35134,0,0,0.35134,7.806436828291843,7.388888888888889,7.388888888888889,16.99090624466329,13.988074230090511,10.5,8.0,3.601032238477448,0.5982002239046698,0.5363750213468436,31.182795698924735
