sweep,sensitivity,FAR,eligibility_variant,cohort_strategy,includes_25_day_rule,n_total,n_eligible,n_currently_eligible,n_selected_failing_current_eligibility,n_valid_MPC,n_zero_baseline,n_undefined_MPC,MPC_valid_fraction_of_selected,reference_offset_monthly,eligibility_fraction,eligibility_ci_lo,eligibility_ci_hi,n_observed_RTM,observed_RTM_fraction,observed_RTM_ci_lo,observed_RTM_ci_hi,MPC_median,MPC_ci_lo,MPC_ci_hi,median_sampled_monthly_frequency_eligible,median_effective_long_term_frequency_eligible,median_detector_specific_long_term_frequency_eligible,mean_baseline_frequency_eligible,mean_test_frequency_eligible,median_baseline_frequency_eligible,median_test_frequency_eligible,mean_baseline_excess_over_detector_long_term_eligible,mean_test_excess_over_detector_long_term_eligible,mean_baseline_threshold_raw,each_baseline_month_threshold_raw,baseline_total_threshold_raw,n_eligibility_mask_disagreements,outcome_count_basis,threshold_strategy
FAR,1.0,0.0,Primary monthly criteria,Reselected at each detector condition,False,100000,35393,35393,0,35393,0,0,1.0,0.0,0.35393,0.35097187849702915,0.356899343509681,13170,0.3721074788800045,0.3670858383049689,0.3771568786467143,14.28571428571429,13.333333333333341,14.814814814814813,8.752590654200395,8.416666666666666,8.416666666666666,15.965529907043766,14.567927744657608,8.5,8.0,1.3162489757861724,-0.0813531865999868,4.0,3.0,8.0,0,Expected monthly correction with zero floor,Primary corrected-count eligibility
FAR,1.0,0.0,Raw counts with additive expected-alarm thresholds,Reselected at each detector condition,False,100000,35393,35393,0,35393,0,0,1.0,0.0,0.35393,0.35097187849702915,0.356899343509681,13170,0.3721074788800045,0.3670858383049689,0.3771568786467143,14.28571428571429,13.333333333333341,14.814814814814813,8.752590654200395,8.416666666666666,8.416666666666666,15.965529907043766,14.567927744657608,8.5,8.0,1.3162489757861724,-0.0813531865999868,4.0,3.0,8.0,0,Expected monthly correction with zero floor,Raw counts with additive expected-alarm thresholds
FAR,1.0,0.1,Primary monthly criteria,Reselected at each detector condition,False,100000,35453,35453,0,35453,0,0,1.0,0.0,0.35453,0.35157072210923973,0.3575004538017353,14467,0.40806137703438355,0.40295569781640367,0.4131869778482881,17.948717948717952,17.09401709401709,18.518518518518523,8.639890218992017,8.305555555555555,8.305555555555555,16.070290243420867,14.418300284884213,9.0,8.0,1.63064479733732,-0.02134516119933432,7.0,6.0,14.0,0,Expected monthly correction with zero floor,Primary corrected-count eligibility
FAR,1.0,0.1,Raw counts with additive expected-alarm thresholds,Reselected at each detector condition,False,100000,35453,35453,0,35453,0,0,1.0,0.0,0.35453,0.35157072210923973,0.3575004538017353,14467,0.40806137703438355,0.40295569781640367,0.4131869778482881,17.948717948717952,17.09401709401709,18.518518518518523,8.639890218992017,8.305555555555555,8.305555555555555,16.070290243420867,14.418300284884213,9.0,8.0,1.63064479733732,-0.02134516119933432,7.0,6.0,14.0,0,Expected monthly correction with zero floor,Raw counts with additive expected-alarm thresholds
FAR,1.0,0.2,Primary monthly criteria,Reselected at each detector condition,False,100000,35551,35551,0,35551,0,0,1.0,0.0,0.35551,0.35254884429760686,0.3584822563236674,15616,0.43925627971083797,0.43410414270994,0.444421542603487,21.212121212121215,20.63492063492063,21.95121951219512,8.51700041704865,8.166666666666666,8.166666666666666,16.109631234001856,14.247419200585075,9.0,8.0,1.8972485537209454,0.03503652030416397,10.0,9.0,20.0,0,Expected monthly correction with zero floor,Primary corrected-count eligibility
FAR,1.0,0.2,Raw counts with additive expected-alarm thresholds,Reselected at each detector condition,False,100000,35551,35551,0,35551,0,0,1.0,0.0,0.35551,0.35254884429760686,0.3584822563236674,15616,0.43925627971083797,0.43410414270994,0.444421542603487,21.212121212121215,20.63492063492063,21.95121951219512,8.51700041704865,8.166666666666666,8.166666666666666,16.109631234001856,14.247419200585075,9.0,8.0,1.8972485537209454,0.03503652030416397,10.0,9.0,20.0,0,Expected monthly correction with zero floor,Raw counts with additive expected-alarm thresholds
FAR,1.0,0.3,Primary monthly criteria,Reselected at each detector condition,False,100000,35437,35437,0,35437,0,0,1.0,0.0,0.35437,0.3514110299808688,0.35734015822230225,16252,0.4586167000592601,0.45343350058339094,0.4638088706676442,23.809523809523814,23.076923076923073,24.6376811594203,8.39865946835112,8.027777777777779,8.027777777777779,16.225287129271667,14.14736951021061,9.0,8.0,2.1799272888036048,0.1020096697425478,13.0,12.0,26.0,0,Expected monthly correction with zero floor,Primary corrected-count eligibility
FAR,1.0,0.3,Raw counts with additive expected-alarm thresholds,Reselected at each detector condition,False,100000,35437,35437,0,35437,0,0,1.0,0.0,0.35437,0.3514110299808688,0.35734015822230225,16252,0.4586167000592601,0.45343350058339094,0.4638088706676442,23.809523809523814,23.076923076923073,24.6376811594203,8.39865946835112,8.027777777777779,8.027777777777779,16.225287129271667,14.14736951021061,9.0,8.0,2.1799272888036048,0.1020096697425478,13.0,12.0,26.0,0,Expected monthly correction with zero floor,Raw counts with additive expected-alarm thresholds
FAR,1.0,0.4,Primary monthly criteria,Reselected at each detector condition,False,100000,35512,35512,0,35512,0,0,1.0,0.0,0.35512,0.3521595899632389,0.3580915406202632,17045,0.4799785987835098,0.4747848902287489,0.4851766384415275,25.71428571428571,25.0,26.190476190476186,8.273565886752431,7.861111111111111,7.861111111111111,16.29996902455508,14.061575429901628,9.5,7.666666666666667,2.4301769667843107,0.1917833721308603,16.0,15.0,32.0,0,Expected monthly correction with zero floor,Primary corrected-count eligibility
FAR,1.0,0.4,Raw counts with additive expected-alarm thresholds,Reselected at each detector condition,False,100000,35512,35512,0,35512,0,0,1.0,0.0,0.35512,0.3521595899632389,0.3580915406202632,17045,0.4799785987835098,0.4747848902287489,0.4851766384415275,25.71428571428571,25.0,26.190476190476186,8.273565886752431,7.861111111111111,7.861111111111111,16.29996902455508,14.061575429901628,9.5,7.666666666666667,2.4301769667843107,0.1917833721308603,16.0,15.0,32.0,0,Expected monthly correction with zero floor,Raw counts with additive expected-alarm thresholds
