Sensitivity,FAR,CorrectFAR,useBaselineTF,drugEffect,N_for_90M,N_for_90R,FractionEligible,Mean_mSF_median,MPC_pcb,MPC_drug,rtm_fraction
1,0.0,True,False,0.2,206,626,0.3305789292832741,8.621921808463549,-1.7314963987765113,18.606270514562162,0.2573007067510549
1,0.0,True,True,0.2,160,402,0.33053522383008865,8.621575850602188,14.436588285407256,31.544272971683814,0.36715066455696194
1,0.0,True,True,0.31,58,132,0.33085641360986856,8.625098216570402,14.37877099302037,40.925884365685725,0.36719010050251266
0.9,0.0,True,True,0.31,60,132,0.3013106863500797,9.038585288549552,15.878916708886525,41.97047812896499,0.3842159296482413
0.8,0.0,True,True,0.31,62,132,0.2690248474234898,9.57319297909257,17.72442599997838,43.21387351455785,0.40528512562814073
0.7,0.0,True,True,0.31,66,134,0.23399272179478126,10.341616440030508,19.994830736421658,44.783541383539585,0.4316902512562814
0.6,0.0,True,True,0.31,70,136,0.19663583775313934,11.437715027090102,22.722922034701337,46.68882955022933,0.4641383417085428
0.5,0.0,True,True,0.31,76,142,0.15766666450515981,12.958206686556393,25.950707195467157,48.90054355204647,0.503151256281407
0.4,0.0,True,True,0.31,84,152,0.11870223852468534,15.072491323704877,29.48724762202299,51.32661278249031,0.5454106281407036
0.3,0.0,True,True,0.31,94,168,0.08170988935328903,18.02603662309393,33.16496127515928,53.89248701286725,0.5834085929648241
0.2,0.0,True,True,0.31,104,192,0.04746545369685441,22.505469874830982,38.27401086657662,57.394622249955454,0.6350604522613064
0.1,0.0,True,True,0.31,116,208,0.016160148278137165,32.80272463442086,47.89861089031346,64.0503536942888,0.7288255025125626
1,0.0,True,True,0.31,58,130,0.3308473389055045,8.625224974580131,14.388063897137085,40.9151128637957,0.36708736607142856
1,0.0,False,True,0.31,56,130,0.33083021836594606,8.623733992941606,14.381127256084131,40.93264049209623,0.36713703125
1,0.03333333333333333,True,True,0.31,62,138,0.3453841053539049,8.665911843465603,15.335093575975588,41.577188785132634,0.3746331473214285
1,0.03333333333333333,False,True,0.31,50,120,0.43287002554060244,7.502524054703934,12.269777427770078,39.45176851170545,0.46152350446428575
1,0.14285714285714285,True,True,0.31,74,154,0.3791294943149047,8.25860494612569,18.32026480901746,43.63731518099372,0.4348702455357143
1,0.14285714285714285,False,True,0.31,40,98,0.8513448060010252,4.10655432954049,4.509738836635654,34.1065862936289,0.5214491964285713
1,1,True,True,0.31,126,220,0.3527378939600414,7.8057159114525,31.016034016404518,52.41613260165598,0.5443428348214286
1,1,False,True,0.31,40,406,1.0,3.4185001068176195,-0.20170041375978745,30.860387524777963,0.4897177678571428
