Sensitivity,FAR,CorrectFAR,useBaselineTF,drugEffect,N_for_90M,N_for_90R,FractionEligible,Mean_mSF_median,MPC_pcb,MPC_drug,rtm_fraction
1,0.0,True,False,0.2,204,624,0.33055796987502545,8.621712417350432,-1.7546082838324146,18.601965301401417,0.2572840189873418
1,0.0,True,True,0.2,160,402,0.3305089326883275,8.62099859155188,14.431308258531418,31.55365688268889,0.3670965084388186
1,0.0,True,True,0.31,58,132,0.33085786755726493,8.627663444750526,14.365864260363882,40.91581459691973,0.36701183417085437
0.9,0.0,True,True,0.31,60,132,0.3013192544009065,9.037140792473789,15.864697303497083,41.94111100286402,0.3843163065326633
0.8,0.0,True,True,0.31,62,132,0.2689685169481209,9.57470275708577,17.719869190622674,43.22334562729305,0.40533899497487447
0.7,0.0,True,True,0.31,66,132,0.23398162592870544,10.342635089765725,19.959792026535105,44.7802488191424,0.4315768844221105
0.6,0.0,True,True,0.31,70,136,0.19655878182138692,11.437479254368027,22.734199808904823,46.678723775920744,0.4641024874371859
0.5,0.0,True,True,0.31,76,140,0.15765189564770807,12.958310674445196,25.949339870601577,48.92270361321263,0.5032826633165829
0.4,0.0,True,True,0.31,84,152,0.11872565700833382,15.075332662439603,29.479203039963256,51.33742397683337,0.5454295477386935
0.3,0.0,True,True,0.31,94,170,0.08170109524707815,18.02481228910958,33.16811807993217,53.88796518912322,0.5833580904522614
0.2,0.0,True,True,0.31,104,192,0.04746173569732743,22.514146992101722,38.29211916191744,57.40200277132199,0.6350927135678391
0.1,0.0,True,True,0.31,116,206,0.016159233043050423,32.80251523768132,47.89794231699367,64.0403479120291,0.7287277386934674
1,0.0,False,True,0.31,58,134,0.3309282147342884,8.62407038746298,14.382125212517527,40.921846339459925,0.3671954271356785
0.9,0.0,False,True,0.31,60,132,0.3012488598768364,9.039218734502166,15.872984617716549,41.964353551313664,0.3842107035175879
0.8,0.0,False,True,0.31,62,132,0.268945549879632,9.57295846340786,17.719025008217116,43.23834547564985,0.4054283668341709
0.7,0.0,False,True,0.31,66,132,0.23404568664606173,10.344037465947864,19.967492139027456,44.78471097171517,0.4315122864321608
0.6,0.0,False,True,0.31,70,136,0.19655426049116043,11.434356912411745,22.743070058931476,46.674456675254206,0.4641270854271356
0.5,0.0,False,True,0.31,76,142,0.15765820017572096,12.96055057313219,25.96191117662637,48.895902618319134,0.5031686683417086
0.4,0.0,False,True,0.31,84,154,0.118741191240569,15.075812735206293,29.472081582380923,51.33483740689948,0.5454245979899496
0.3,0.0,False,True,0.31,94,172,0.08171007878800943,18.024688708819248,33.19150638526942,53.885815120738364,0.5832831407035176
0.2,0.0,False,True,0.31,102,186,0.047467464763357496,22.509401325650593,38.2583705323073,57.38677906552741,0.6348760552763819
0.1,0.0,False,True,0.31,116,206,0.016159222052960907,32.79686444167948,47.901595644561795,64.0425240792356,0.7288904020100503
1,0.0,True,True,0.31,58,130,0.33083611682737646,8.626919950780644,14.36656906873483,40.93314548100769,0.3671825223214286
1,0.0,False,True,0.31,58,130,0.3308184313503172,8.62635589328998,14.40996233676005,40.91906780838927,0.3672341517857143
1,0.03333333333333333,True,True,0.31,62,138,0.3454030781346317,8.66756319500241,15.333191532281697,41.589972617092016,0.3746452678571429
1,0.03333333333333333,False,True,0.31,48,120,0.4329454726969235,7.500711709708311,12.255948267239516,39.47445859687417,0.4615954017857142
1,0.14285714285714285,True,True,0.31,74,154,0.37920253933838866,8.257929509538696,18.331331272384777,43.644342059786396,0.43503794642857135
1,0.14285714285714285,False,True,0.31,40,98,0.8513985100782524,4.1068373169752865,4.517390196392452,34.11595486125205,0.5215464955357142
1,1,True,True,0.31,126,218,0.3528360671727106,7.806845333232931,31.01415218420356,52.429952205296594,0.544324330357143
1,1,False,True,0.31,40,412,1.0,3.417966842299849,-0.1998883901641444,30.86172164286905,0.48979636160714274
